Nombre,Candidato,Score_nombre,Dirección,Dirección_candidato,Score_dirección
Instituto por Cooperativa de Diversificado,Instituto de Diversificado por Cooperativa,100.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Instituto de Diversificado por Cooperativa,Instituto por Cooperativa de Diversificado,100.0,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Mixto Particular Ixtapan,Colegio Particular Mixto Ixtapan,100.0,5A AVENIDA 3 - 80 ZONA 1 BARRIO EL MORON,5TA AVENIDA 3 - 80 ZONA 1 BARRIO EL MORÓN,96.2962962962963
Colegio Particular Mixto Ixtapan,Colegio Mixto Particular Ixtapan,100.0,5TA AVENIDA 3 - 80 ZONA 1 BARRIO EL MORÓN,5A AVENIDA 3 - 80 ZONA 1 BARRIO EL MORON,96.2962962962963
Colegio Centro de Formacion Profesional Pre-universitaria del Ciclo Diversificado,Colegio Centro de Formacion Profesional Preuniversitaria del Ciclo Diversificado,99.37888198757764,BARRIO EL CENTRO,BARRIO EL CENTRO,100.0
Colegio Centro de Formacion Profesional Preuniversitaria del Ciclo Diversificado,Colegio Centro de Formacion Profesional Pre-universitaria del Ciclo Diversificado,99.37888198757764,BARRIO EL CENTRO,BARRIO EL CENTRO,100.0
Colegio Centro de Formacion Profesional Preuniversitaria del Ciclo Diversificado,Colegio Centro de Formacion Profesional Pre-universitaria del Ciclo Diversificado,99.37888198757764,BARRIO EL CENTRO,BARRIO EL CENTRO,100.0
Colegio Centro de Formacion Profesional Pre-universitaria del Ciclo Diversificado,Colegio Centro de Formacion Profesional Preuniversitaria del Ciclo Diversificado,99.37888198757764,BARRIO EL CENTRO,BARRIO EL CENTRO,100.0
Colegio Evangelco Tecnologico Privado Mixto Bersheba Bless God,Colegio Evangelico Tecnologico Privado Mixto Bersheba Bless God,99.2,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Colegio Evangelico Tecnologico Privado Mixto Bersheba Bless God,Colegio Evangelco Tecnologico Privado Mixto Bersheba Bless God,99.2,CABECERA MUNICIPAL,CABECERA MUNICIPAL,100.0
Instituto Tecnico Particular de Diversificado Intecpadi,"Instituto Tecnico Particular de Diversificado, Intecpadi",99.09909909909909,5TA. CALLE 5 - 43 ZONA 1,5A. CALLE 5 - 43 ZONA 1,97.87234042553192
