codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,departamento_origen,establecimiento_norm,establecimiento_nota,direccion_norm,direccion_nota,telefonos_list,telefono_norm,codigo_flag_valido,distrito_flag_valido,departamento_norm,municipio_norm,id_establecimiento_canon,llave_canonica
01-08-0346-46,01-603,GUATEMALA,MIXCO,ACADEMIA COMERCIAL E INSTITUTO LOURDES,"5A. AVENIDA 6-51 ""A"" ZONA 1",55184534,ROSA ALBELIA ARDON DE MOTTA,ESTEBAN TOCON XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|VESPERTINA|SIN JORNADA,FIN DE SEMANA,GUATEMALA OCCIDENTE,Guatemala,Academia Comercial e Instituto Lourdes,,5A. AVENIDA 6 - 51 A ZONA 1,,['+502 5518 4534'],+502 5518 4534,True,True,GUATEMALA,MIXCO,ACADEMIA COMERCIAL E INSTITUTO LOURDES 5A AVENIDA 6 51 A ZONA 1 MIXCO,3736030015012360663
00-13-7170-46,01-501,CIUDAD CAPITAL,ZONA 13,ACADEMIA DE ESTUDIOS AVANZADOS F-15,15 AVENIDA A 24-08,23322290,JULIO JACOBO GIL URBINA,ALMA ILEANA BARRIOS BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,CiudadCapital,Academia de Estudios Avanzados F-15,,15 AVENIDA A 24 - 08,,['+502 2332 2290'],+502 2332 2290,True,True,CIUDAD CAPITAL,ZONA 13,ACADEMIA DE ESTUDIOS AVANZADOS F 15 15 AVENIDA A 24 08 ZONA 13,-1140153100708456506
03-01-0280-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,ANTIGUA GREEN SCHOOL,CALLE DEL PORTAL LOTE 11,78323445,ZOILA ESTHELA JONFE OROZCO,CLAUDIA MARÍA LÓPEZ LARIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,Sacatepequez,Antigua Green School,,CALLE DEL PORTAL LOTE 11,,['+502 7832 3445'],+502 7832 3445,True,True,SACATEPEQUEZ,ANTIGUA GUATEMALA,ANTIGUA GREEN SCHOOL CALLE DEL PORTAL LOTE 11 ANTIGUA GUATEMALA,2847240289244622477
13-26-0220-46,13-043,HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA,"2A. CALLE 6-35, ZONA 6, CABECERA MUNICIPAL",30429444,ARACELY FIGUEROA URBINA,ALBERTO EFRAÍN RAMÓN DIEGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO,Huehuetenango,Asociación de Maestros de Educación Rural de Guatemala,,"2A. CALLE 6 - 35, ZONA 6, CABECERA MUNICIPAL",,['+502 3042 9444'],+502 3042 9444,True,True,HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA 2A CALLE 6 35 ZONA 6 CABECERA MUNICIPAL SANTA CRUZ BARILLAS,7954140070858577135
13-26-0236-46,13-043,HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA -AMERG-,"2A. CALLE 6-35, ZONA 6",30429444,ARACELY FIGUEROA URBINA,ALBERTO EFRAÍN RAMÓN DIEGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),HUEHUETENANGO,Huehuetenango,Asociación de Maestros de Educación Rural de Guatemala -amerg-,,"2A. CALLE 6 - 35, ZONA 6",,['+502 3042 9444'],+502 3042 9444,True,True,HUEHUETENANGO,SANTA CRUZ BARILLAS,ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA AMERG 2A CALLE 6 35 ZONA 6 SANTA CRUZ BARILLAS,692461829779911312
13-17-0080-46,13-030,HUEHUETENANGO,SANTA EULALIA,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA -AMERG-,"CABECERA MUNICIPAL, SANTA EULALIA",31207507,JUAN CARLOS MORALES GONZALEZ,DEMOSTENES MATEO SEBASTIAN MARTIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),HUEHUETENANGO,Huehuetenango,Asociación de Maestros de Educación Rural de Guatemala -amerg-,,"CABECERA MUNICIPAL, SANTA EULALIA",,['+502 3120 7507'],+502 3120 7507,True,True,HUEHUETENANGO,SANTA EULALIA,ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA AMERG CABECERA MUNICIPAL SANTA EULALIA SANTA EULALIA,-4924404153520113891
18-01-0413-46,18-008,IZABAL,PUERTO BARRIOS,CAB SCHOOL PUERTO BARRIOS,"RIO CACAO, KILOMETRO 292, RUTA AL ATLANTICO",59899442,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,ROSSANA AIMÉE CHIAPAS GALLARDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL,Izabal,Cab School Puerto Barrios,,"RIO CACAO, KILOMETRO 292, RUTA AL ATLANTICO",,['+502 5989 9442'],+502 5989 9442,True,True,IZABAL,PUERTO BARRIOS,CAB SCHOOL PUERTO BARRIOS RIO CACAO KILOMETRO 292 RUTA AL ATLANTICO PUERTO BARRIOS,5260182255168440643
09-20-0126-46,09-012,QUETZALTENANGO,COATEPEQUE,CEEX-COATEPEQUE,"3RA AVENIDA 5-00, BARRIO SAN FRANCISCO",34988123,JUAN JOSE COLOP COLOP,MARTA VIRGINIA BARRIOS SÁNCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,Quetzaltenango,Ceex-coatepeque,,"3RA AVENIDA 5 - 00, BARRIO SAN FRANCISCO",,['+502 3498 8123'],+502 3498 8123,True,True,QUETZALTENANGO,COATEPEQUE,CEEX COATEPEQUE 3RA AVENIDA 5 00 BARRIO SAN FRANCISCO COATEPEQUE,4018302327957372397
09-11-0023-46,09-012,QUETZALTENANGO,CONCEPCION CHIQUIRICHAPA,CEEX-CONCEPCIÓN CHIQUIRICHAPA,1A.. AVENIDA 2-14 ZONA 4,44988086,JUAN JOSE COLOP COLOP,MIRNA SUSANA LORENZO LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,Quetzaltenango,Ceex-concepción Chiquirichapa,,1A.. AVENIDA 2 - 14 ZONA 4,,['+502 4498 8086'],+502 4498 8086,True,True,QUETZALTENANGO,CONCEPCION CHIQUIRICHAPA,CEEX CONCEPCION CHIQUIRICHAPA 1A AVENIDA 2 14 ZONA 4 CONCEPCION CHIQUIRICHAPA,-2881405001713613738
03-01-0194-46,03-016,SACATEPEQUEZ,ANTIGUA GUATEMALA,-CEEX- ESCUELA DE CAFICULTURA ANTIGUA COFEE,HACIENDA FINCA CARMONA ALDEA SAN JUAN DEL OBISPO,42176394,OSCAR OSWALDO SON CAMEZ,MARVIN EDUARDO GONZÁLEZ CARCUZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ,Sacatepequez,-ceex- Escuela de Caficultura Antigua Cofee,,HACIENDA FINCA CARMONA ALDEA SAN JUAN DEL OBISPO,,['+502 4217 6394'],+502 4217 6394,True,True,SACATEPEQUEZ,ANTIGUA GUATEMALA,CEEX ESCUELA DE CAFICULTURA ANTIGUA COFEE HACIENDA FINCA CARMONA ALDEA SAN JUAN DEL OBISPO ANTIGUA GUATEMALA,-1440445861457641302
